txn_id,date,amount_inr,type,bank,merchant,status
TXN00000,2024-06-12,18758.28,UPI,ICICI,Swiggy,SUCCESS
TXN00001,2024-01-29,47538.18,UPI,HDFC,Swiggy,SUCCESS
TXN00002,2024-01-07,36613.1,UPI,HDFC,Uber,SUCCESS
TXN00003,2024-03-11,29952.99,ATM,ICICI,Paytm,SUCCESS
TXN00004,2024-03-03,8398.36,RTGS,Axis,BookMyShow,DISCREPANCY
TXN00005,2024-02-27,7841.93,ATM,Axis,Zomato,PENDING
TXN00006,2024-02-05,2951.28,RTGS,Kotak,BigBasket,SUCCESS
TXN00007,2024-01-27,43315.5,ATM,Kotak,MakeMyTrip,SUCCESS
TXN00008,2024-06-22,30075.69,ATM,SBI,Amazon,SUCCESS
TXN00009,2024-05-19,35418.23,IMPS,HDFC,MakeMyTrip,SUCCESS
TXN00010,2024-01-23,1078.2,ATM,Kotak,PhonePe,SUCCESS
TXN00011,2024-05-31,48497.0,NEFT,Axis,Ola,SUCCESS
TXN00012,2024-04-18,41200.21,IMPS,ICICI,PhonePe,DISCREPANCY
TXN00013,2024-01-09,11214.3,ATM,Axis,Ola,DISCREPANCY
TXN00014,2024-01-08,9132.16,UPI,HDFC,Paytm,SUCCESS
TXN00015,2024-01-24,9211.06,NEFT,Axis,Ola,SUCCESS
TXN00016,2024-02-25,15246.9,NEFT,SBI,Swiggy,FAILED
TXN00017,2024-02-29,26261.58,NEFT,HDFC,BookMyShow,SUCCESS
TXN00018,2024-05-09,21625.65,IMPS,ICICI,BigBasket,SUCCESS
TXN00019,2024-06-03,14596.9,ATM,SBI,BigBasket,SUCCESS
TXN00020,2024-01-07,30612.05,ATM,HDFC,Swiggy,PENDING
TXN00021,2024-05-23,7504.71,UPI,ICICI,BookMyShow,DISCREPANCY
TXN00022,2024-02-20,14642.63,UPI,SBI,Flipkart,SUCCESS
TXN00023,2024-06-15,18349.77,NEFT,SBI,MakeMyTrip,SUCCESS
TXN00024,2024-06-28,22830.7,UPI,HDFC,Paytm,SUCCESS
TXN00025,2024-05-19,39269.54,IMPS,Kotak,MakeMyTrip,SUCCESS
TXN00026,2024-04-17,10023.71,ATM,SBI,Flipkart,SUCCESS
TXN00027,2024-02-26,25736.01,NEFT,SBI,Flipkart,SUCCESS
TXN00028,2024-04-24,29641.11,UPI,ICICI,PhonePe,SUCCESS
TXN00029,2024-05-30,2370.2,IMPS,Axis,Uber,SUCCESS
TXN00030,2024-03-12,30396.87,IMPS,HDFC,PhonePe,SUCCESS
TXN00031,2024-01-02,8567.68,UPI,HDFC,Uber,SUCCESS
TXN00032,2024-02-10,3299.33,ATM,Kotak,Amazon,SUCCESS
TXN00033,2024-06-27,47446.83,UPI,Kotak,Ola,SUCCESS
TXN00034,2024-04-18,48283.32,NEFT,HDFC,BookMyShow,SUCCESS
TXN00035,2024-03-28,42808.41,UPI,Kotak,Uber,DISCREPANCY
TXN00036,2024-03-12,15265.46,IMPS,ICICI,MakeMyTrip,SUCCESS
TXN00037,2024-02-09,4928.72,UPI,HDFC,Swiggy,PENDING
TXN00038,2024-02-25,34227.44,ATM,Kotak,PhonePe,SUCCESS
TXN00039,2024-03-27,22035.62,RTGS,HDFC,BookMyShow,SUCCESS
TXN00040,2024-01-27,6145.81,UPI,Axis,Paytm,SUCCESS
TXN00041,2024-01-24,24784.09,ATM,SBI,BookMyShow,SUCCESS
TXN00042,2024-04-07,1767.71,ATM,HDFC,Ola,SUCCESS
TXN00043,2024-01-25,49842.45,IMPS,SBI,Amazon,DISCREPANCY
TXN00044,2024-04-01,12976.06,ATM,Kotak,Uber,FAILED
TXN00045,2024-03-29,33142.99,ATM,SBI,Amazon,SUCCESS
TXN00046,2024-06-03,15619.97,ATM,HDFC,Paytm,PENDING
TXN00047,2024-03-08,26027.4,ATM,Axis,Flipkart,FAILED
TXN00048,2024-01-12,27358.18,NEFT,Kotak,BigBasket,SUCCESS
TXN00049,2024-04-27,9283.48,NEFT,HDFC,Paytm,PENDING
TXN00050,2024-05-17,48480.75,IMPS,Kotak,IRCTC,SUCCESS
TXN00051,2024-02-01,41942.62,UPI,ICICI,Paytm,DISCREPANCY
TXN00052,2024-04-06,46977.97,ATM,SBI,Amazon,SUCCESS
TXN00053,2024-01-21,44746.63,UPI,ICICI,BookMyShow,FAILED
TXN00054,2024-05-21,29915.1,UPI,HDFC,Swiggy,FAILED
TXN00055,2024-03-16,46097.62,IMPS,Axis,PhonePe,SUCCESS
TXN00056,2024-06-09,4470.2,ATM,Kotak,Swiggy,SUCCESS
TXN00057,2024-06-07,9839.34,ATM,SBI,Amazon,SUCCESS
TXN00058,2024-04-02,2309.1,RTGS,Kotak,PhonePe,SUCCESS
TXN00059,2024-05-27,16300.25,UPI,HDFC,IRCTC,SUCCESS
TXN00060,2024-02-19,19464.43,UPI,Kotak,BigBasket,SUCCESS
TXN00061,2024-06-29,13603.88,NEFT,SBI,Ola,SUCCESS
TXN00062,2024-01-18,41445.44,RTGS,HDFC,MakeMyTrip,SUCCESS
TXN00063,2024-01-12,17869.83,NEFT,Kotak,Amazon,PENDING
TXN00064,2024-06-18,14082.68,NEFT,Axis,BookMyShow,SUCCESS
TXN00065,2024-02-28,27157.67,NEFT,HDFC,Uber,SUCCESS
TXN00066,2024-03-15,7089.17,IMPS,HDFC,Amazon,SUCCESS
TXN00067,2024-01-21,40119.74,IMPS,Axis,Amazon,FAILED
TXN00068,2024-02-29,3773.8,NEFT,ICICI,PhonePe,FAILED
TXN00069,2024-01-26,49456.28,RTGS,SBI,Zomato,DISCREPANCY
TXN00070,2024-04-07,42208.13,UPI,ICICI,Paytm,DISCREPANCY
TXN00071,2024-03-12,9975.85,RTGS,Kotak,BookMyShow,SUCCESS
TXN00072,2024-04-26,325.83,ATM,Axis,Zomato,SUCCESS
TXN00073,2024-06-11,40782.3,IMPS,ICICI,IRCTC,SUCCESS
TXN00074,2024-04-03,35357.52,UPI,HDFC,Uber,SUCCESS
TXN00075,2024-02-11,36463.91,UPI,Kotak,BigBasket,SUCCESS
TXN00076,2024-04-04,38574.95,ATM,Kotak,Flipkart,SUCCESS
TXN00077,2024-03-31,3748.53,ATM,ICICI,IRCTC,SUCCESS
TXN00078,2024-02-23,17955.36,NEFT,ICICI,Flipkart,SUCCESS
TXN00079,2024-06-20,5837.66,IMPS,Axis,BookMyShow,SUCCESS
TXN00080,2024-03-09,43162.02,IMPS,SBI,BookMyShow,PENDING
TXN00081,2024-06-28,31183.74,RTGS,ICICI,Flipkart,SUCCESS
TXN00082,2024-06-23,16578.36,NEFT,ICICI,BookMyShow,PENDING
TXN00083,2024-06-14,3224.74,NEFT,HDFC,BigBasket,SUCCESS
TXN00084,2024-01-19,15583.57,NEFT,Kotak,Swiggy,SUCCESS
TXN00085,2024-06-04,16292.91,NEFT,SBI,Zomato,SUCCESS
TXN00086,2024-06-11,36493.83,IMPS,HDFC,Amazon,SUCCESS
TXN00087,2024-02-13,31896.0,IMPS,Axis,Ola,SUCCESS
TXN00088,2024-05-16,44366.28,NEFT,Axis,Flipkart,SUCCESS
TXN00089,2024-03-03,23637.14,RTGS,ICICI,Uber,SUCCESS
TXN00090,2024-02-11,6023.73,UPI,ICICI,IRCTC,SUCCESS
TXN00091,2024-04-28,35676.58,UPI,Axis,Swiggy,SUCCESS
TXN00092,2024-04-07,38051.21,RTGS,ICICI,Flipkart,SUCCESS
TXN00093,2024-03-10,28085.8,NEFT,SBI,Swiggy,SUCCESS
TXN00094,2024-06-12,38559.81,IMPS,ICICI,Swiggy,SUCCESS
TXN00095,2024-06-25,25078.54,UPI,Kotak,Flipkart,DISCREPANCY
TXN00096,2024-05-22,26160.5,ATM,ICICI,PhonePe,SUCCESS
